project name, jcaFile, adapter-config-name, adapter-type,connection factory location, endpoint type, class, DestinationName, DeliveryMode, TimeToLive, UseMessageListener, MessageSelector, PayloadType
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenBeginSpontaanInkomendeUitwisseling_WS_jms.jca, ITE_ArchiverenBeginSpontaanInkomendeUitwisseling_WS, JMS Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_INKOMEND,,,false,BPEL_SENSOR_NAME like 'BeginSpontaneUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenBeginUitwisseling_WS_jms.jca, ITE_ArchiverenBeginUitwisseling_WS, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_UITGAAND,,,false,BPEL_SENSOR_NAME like 'BeginUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenEindeSpontaanInkomendeUitwisseling_WS_jms.jca, ITE_ArchiverenEindeSpontaanInkomendeUitwisseling_WS, JMS Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_UITGAAND,,,false,BPEL_SENSOR_NAME like 'EindeSpontaneUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenEindeUitwisseling_WS_jms.jca, ITE_ArchiverenEindeUitwisseling_WS, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_INKOMEND,,,false,BPEL_SENSOR_NAME like 'EindeUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenInkomendVervolg_WS_jms.jca, ITE_ArchiverenInkomendVervolg_WS, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_INKOMEND,,,false,BPEL_SENSOR_NAME like 'VervolgUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenStopUitwisseling_WS_jms.jca, ITE_ArchiverenStopUitwisseling_WS, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_INKOMEND,,,false,BPEL_SENSOR_NAME like 'StopUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, ITE_ArchiverenUitgaandVervolg_WS_jms.jca, ITE_ArchiverenUitgaandVervolg_WS, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_UITGAAND,,,false,BPEL_SENSOR_NAME like 'VervolgUitwisseling%',TextMessage
ArchiverenBerichtUitwisselingBPEL, SBL_BijwerkenInkomendBericht_WS_jms.jca, SBL_BijwerkenInkomendBericht_WS, Jms Adapter, eis/aqjms/CP_QDB_01, interaction, oracle.tip.adapter.jms.outbound.JmsProduceInteractionSpec,jms/SBL_INBOUND_ARCH_IN,Persistent,0,,,TextMessage
ArchiverenBerichtUitwisselingBPEL, SBL_VerwerkenAntwoordbericht_CB_jms.jca, SBL_VerwerkenAntwoordbericht_CB, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/SBL_OUTBOUND,,,false,JMSType like 'VerwerkenAntwoordbericht%',TextMessage
ArchiverenInkomendBerichtBPEL, SBL_ArchiverenInkomendBerichtFault_WS_jms.jca, SBL_ArchiverenInkomendBerichtFault_WS, Jms Adapter, eis/aqjms/CP_QDB_01, interaction, oracle.tip.adapter.jms.outbound.JmsProduceInteractionSpec,jms/SBL_INBOUND_ARCH_IN,Persistent,0,,,TextMessage
ArchiverenInkomendBerichtBPEL, SBL_ArchiverenInkomendBericht_WS_jms.jca, SBL_ArchiverenInkomendBericht_WS, Jms Adapter, eis/aqjms/CP_QDB_01, interaction, oracle.tip.adapter.jms.outbound.JmsProduceInteractionSpec,jms/SBL_INBOUND_ARCH_IN,Persistent,0,,,TextMessage
ArchiverenSpontaanBerichtBPEL, ITE_ArchiverenSpontaanBericht_WS_jms.jca, ITE_ArchiverenSpontaanBericht_WS, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/ITE_INKOMEND,,,false,BPEL_SENSOR_NAME like 'SpontaanBericht%',TextMessage
ArchiverenSpontaanBerichtBPEL, SBL_BijwerkenInkomendBericht_WS_jms.jca, SBL_BijwerkenInkomendBericht_WS, Jms Adapter, eis/aqjms/CP_QDB_01, interaction, oracle.tip.adapter.jms.outbound.JmsProduceInteractionSpec,jms/SBL_INBOUND_ARCH_IN,Persistent,0,,,TextMessage
ArchiverenSpontaanBerichtBPEL, SBL_VerwerkenSpontaanBericht_CB_jms.jca, SBL_VerwerkenSpontaanBericht_CB, Jms Adapter, eis/aqjms/CP_QDB_01, activation, oracle.tip.adapter.jms.inbound.JmsConsumeActivationSpec,jms/SBL_OUTBOUND,,,false,JMSType like 'VerwerkenSpontaanBericht%',TextMessage
